timestamp,query,reputation_score,sentiment_label,linkedin_name,linkedin_location,linkedin_error,industry_identified,failory_specific_failure_found,failory_error,controversy_hits_count,controversies_error,location_names_found,cache_status
2025-04-07 19:18:01,Zepto,100,POSITIVE,Zepto (Simulated),San Francisco Bay Area (Simulated),Using simulated LinkedIn data for demonstration.,Quick Commerce,False,,2,,"San Francisco, CA",MISS
2025-04-07 19:18:49,Paytm,99,POSITIVE,Paytm (Simulated),San Francisco Bay Area (Simulated),Using simulated LinkedIn data for demonstration.,FinTech,False,,2,,"San Francisco, CA",MISS
2025-04-07 19:23:47,Admazely,69,POSITIVE,Admazely (Simulated),San Francisco Bay Area (Simulated),Using simulated LinkedIn data for demonstration.,,True,,0,No specific controversy-related snippets found in preliminary web search.,"San Francisco, CA, London, UK",MISS
2025-04-08 01:00:47,Consultadd,100,POSITIVE,Consultadd (Simulated),San Francisco Bay Area (Simulated),Using simulated LinkedIn data for demonstration.,,False,,0,No specific controversy-related snippets found in preliminary web search.,"San Francisco, CA, New York, NY",MISS
2025-04-08 01:01:41,zepto,99,POSITIVE,Zepto (Simulated),San Francisco Bay Area (Simulated),Using simulated LinkedIn data for demonstration.,Quick Commerce,False,,2,,"San Francisco, CA",MISS
2025-04-08 01:02:52,Alikolo,67,POSITIVE,Alikolo (Simulated),San Francisco Bay Area (Simulated),Using simulated LinkedIn data for demonstration.,,True,,0,No specific controversy-related snippets found in preliminary web search.,"San Francisco, CA",MISS
2025-04-08 14:37:55,Zepto,100,POSITIVE,Zepto (Simulated),San Francisco Bay Area (Simulated),Using simulated LinkedIn data for demonstration.,Quick Commerce,False,,2,,"San Francisco, CA",MISS
2025-04-29 03:11:34,aadit palicha,99,POSITIVE,Aadit Palicha (Simulated),San Francisco Bay Area (Simulated),Using simulated LinkedIn data for demonstration.,,False,,1,,"San Francisco, CA",MISS
2025-04-29 03:12:25,picasa,99,POSITIVE,Picasa (Simulated),San Francisco Bay Area (Simulated),Using simulated LinkedIn data for demonstration.,,False,,0,No specific controversy-related snippets found in preliminary web search.,"San Francisco, CA",MISS
2025-04-29 03:12:54,fire phone,22,NEGATIVE,Fire Phone (Simulated),San Francisco Bay Area (Simulated),Using simulated LinkedIn data for demonstration.,,False,,0,No specific controversy-related snippets found in preliminary web search.,"San Francisco, CA",MISS
2025-04-29 03:13:23,pets.com,99,POSITIVE,Pets.Com (Simulated),San Francisco Bay Area (Simulated),Using simulated LinkedIn data for demonstration.,,False,,0,No specific controversy-related snippets found in preliminary web search.,"San Francisco, CA",MISS
2025-04-29 03:13:54,quibi,68,POSITIVE,Quibi (Simulated),San Francisco Bay Area (Simulated),Using simulated LinkedIn data for demonstration.,,True,,1,,"San Francisco, CA, New York, NY",MISS
2025-04-29 03:14:37,zoomo,70,POSITIVE,Zoomo (Simulated),San Francisco Bay Area (Simulated),Using simulated LinkedIn data for demonstration.,,True,,0,No specific controversy-related snippets found in preliminary web search.,"San Francisco, CA, New York, NY",MISS
2025-04-29 03:15:14,vine,57,POSITIVE,Vine (Simulated),San Francisco Bay Area (Simulated),Using simulated LinkedIn data for demonstration.,,True,,0,No specific controversy-related snippets found in preliminary web search.,"San Francisco, CA",MISS
2025-04-29 03:15:32,google,99,POSITIVE,Google (Simulated),San Francisco Bay Area (Simulated),Using simulated LinkedIn data for demonstration.,,False,,4,,"San Francisco, CA",MISS
